 ,Energy (Wh)
2021-12-31,9024
2021-12-30,5366
2021-12-29,6659
2021-12-28,5430
2021-12-27,4169
2021-12-26,8733
2021-12-25,8691
2021-12-24,8634
2021-12-23,8094
2021-12-22,8310
2021-12-21,9245
2021-12-20,8745
2021-12-19,5746
2021-12-18,5027
2021-12-17,4924
2021-12-16,7949
2021-12-15,7165
2021-12-14,8439
2021-12-13,6643
2021-12-12,5482
2021-12-11,7650
2021-12-10,8952
2021-12-9,8560
2021-12-8,9010
2021-12-7,9067
2021-12-6,6480
2021-12-5,3884
2021-12-4,4240
2021-12-3,8777
2021-12-2,6873
2021-12-1,8197
2021-11-30,7191
2021-11-29,8942
2021-11-28,6491
2021-11-27,7263
2021-11-26,4772
2021-11-25,9203
2021-11-24,9308
2021-11-23,8751
2021-11-22,8681
2021-11-21,9127
2021-11-20,8662
2021-11-19,8264
2021-11-18,8399
2021-11-17,3938
2021-11-16,8659
2021-11-15,8882
2021-11-14,9079
2021-11-13,6583
2021-11-12,9024
2021-11-11,9359
2021-11-10,6924
2021-11-9,5678
2021-11-8,7129
2021-11-7,7011
2021-11-6,5641
2021-11-5,7245
2021-11-4,3055
2021-11-3,6399
2021-11-2,8449
2021-11-1,4259
2021-10-31,8653
2021-10-30,8373
2021-10-29,5740
2021-10-28,6856
2021-10-27,7987
2021-10-26,6250
2021-10-25,7562
2021-10-24,4975
2021-10-23,5538
2021-10-22,3591
2021-10-21,5936
2021-10-20,4878
2021-10-19,5583
2021-10-18,6618
2021-10-17,3540
2021-10-16,3745
2021-10-15,4533
2021-10-14,1536
2021-10-13,5043
2021-10-12,5594
2021-10-11,5426
2021-10-10,4193
2021-10-9,7727
2021-10-8,3178
2021-10-7,6518
2021-10-6,4879
2021-10-5,5840
2021-10-4,5881
2021-10-3,4490
2021-10-2,3419
2021-10-1,4681
2021-09-30,4847
2021-09-29,5562
2021-09-28,4190
2021-09-27,3447
2021-09-26,3872
2021-09-25,4319
2021-09-24,3891
2021-09-23,5278
2021-09-22,5182
2021-09-21,4692
2021-09-20,4107
2021-09-19,4143
2021-09-18,4675
2021-09-17,5515
2021-09-16,5318
2021-09-15,5298
2021-09-14,4369
2021-09-13,5248
2021-09-12,2367
2021-09-11,4779
2021-09-10,4198
2021-09-9,5028
2021-09-8,4323
2021-09-7,4903
2021-09-6,3901
2021-09-5,2924
2021-09-4,3202
2021-09-3,3396
2021-09-2,3808
2021-09-1,3920
2021-08-31,2983
2021-08-30,985
2021-08-29,3391
2021-08-28,3465
2021-08-27,3523
2021-08-26,1218
2021-08-25,4075
2021-08-24,2121
2021-08-23,3787
2021-08-22,4599
2021-08-21,3774
2021-08-20,3893
2021-08-19,3756
2021-08-18,1265
2021-08-17,2446
2021-08-16,3373
2021-08-15,3548
2021-08-14,4522
2021-08-13,3920
2021-08-12,4308
2021-08-11,3003
2021-08-10,3294
2021-08-9,3083
2021-08-8,2446
2021-08-7,2417
2021-08-6,3273
2021-08-5,3859
2021-08-4,2735
2021-08-3,3489
2021-08-2,4883
2021-08-1,3391
2021-07-31,3497
2021-07-30,4443
2021-07-29,829
2021-07-28,2835
2021-07-27,2866
2021-07-26,4859
2021-07-25,3390
2021-07-24,4525
2021-07-23,5733
2021-07-22,3076
2021-07-21,2584
2021-07-20,3109
2021-07-19,2132
2021-07-18,3436
2021-07-17,5462
2021-07-16,4674
2021-07-15,3910
2021-07-14,3318
2021-07-13,3094
2021-07-12,686
2021-07-11,3166
2021-07-10,3082
2021-07-9,2865
2021-07-8,327
2021-07-7,3625
2021-07-6,3498
2021-07-5,3817
2021-07-4,2596
2021-07-3,1795
2021-07-2,2709
2021-07-1,2397
2021-06-30,1308
2021-06-29,428
2021-06-28,775
2021-06-27,3555
2021-06-26,1902
2021-06-25,321
2021-06-24,5353
2021-06-23,2757
2021-06-22,2436
2021-06-21,3092
2021-06-20,4961
2021-06-19,5291
2021-06-18,5285
2021-06-17,1944
2021-06-16,3135
2021-06-15,3685
2021-06-14,5082
2021-06-13,4422
2021-06-12,5552
2021-06-11,5249
2021-06-10,1674
2021-06-9,4954
2021-06-8,4476
2021-06-7,4933
2021-06-6,5127
2021-06-5,5785
2021-06-4,5525
2021-06-3,5469
2021-06-2,3868
2021-06-1,4731
2021-05-31,3688
2021-05-30,5284
2021-05-29,3410
2021-05-28,866
2021-05-27,2332
2021-05-26,4798
2021-05-25,4835
2021-05-24,4616
2021-05-23,5111
2021-05-22,4180
2021-05-21,2762
2021-05-20,1389
2021-05-19,3150
2021-05-18,3612
2021-05-17,2214
2021-05-16,2630
2021-05-15,576
2021-05-14,2541
2021-05-13,4895
2021-05-12,5635
2021-05-11,5948
2021-05-10,4402
2021-05-9,4911
2021-05-8,3268
2021-05-7,1795
2021-05-6,3525
2021-05-5,967
2021-05-4,5554
2021-05-3,4047
2021-05-2,7254
2021-05-1,6630
2021-04-30,6905
2021-04-29,5220
2021-04-28,6446
2021-04-27,4738
2021-04-26,4891
2021-04-25,3737
2021-04-24,6524
2021-04-23,6732
2021-04-22,6848
2021-04-21,6646
2021-04-20,7142
2021-04-19,6829
2021-04-18,5982
2021-04-17,6902
2021-04-16,7102
2021-04-15,6448
2021-04-14,6424
2021-04-13,6469
2021-04-12,6818
2021-04-11,6957
2021-04-10,6766
2021-04-9,6908
2021-04-8,7500
2021-04-7,6885
2021-04-6,7823
2021-04-5,4848
2021-04-4,2833
2021-04-3,7514
2021-04-2,4826
2021-04-1,7344
2021-03-31,3546
2021-03-30,8014
2021-03-29,7797
2021-03-28,6873
2021-03-27,5573
2021-03-26,5590
2021-03-25,7624
2021-03-24,7283
2021-03-23,7391
2021-03-22,8390
2021-03-21,8317
2021-03-20,7830
2021-03-19,7565
2021-03-18,7153
2021-03-17,7050
2021-03-16,7904
2021-03-15,4072
2021-03-14,2013
2021-03-13,8269
2021-03-12,5767
2021-03-11,7546
2021-03-10,1265
2021-03-9,4176
2021-03-8,6283
2021-03-7,1172
2021-03-6,6007
2021-03-5,4662
2021-03-4,104
2021-03-3,6747
2021-03-2,6934
2021-03-1,3333
2021-02-28,7233
2021-02-27,7629
2021-02-26,6912
2021-02-25,4762
2021-02-24,96
2021-02-23,376
2021-02-22,7513
2021-02-21,3891
2021-02-20,6038
2021-02-19,97
2021-02-18,114
2021-02-17,119
2021-02-16,97
2021-02-15,329
2021-02-14,4967
2021-02-13,7727
2021-02-12,96
2021-02-11,89
2021-02-10,3335
2021-02-9,426
2021-02-8,0
2021-02-7,0
2021-02-6,0
2021-02-5,0
2021-02-4,0
2021-02-3,0
2021-02-2,0
2021-02-1,0
2021-01-31,0
2021-01-30,0
2021-01-29,0
2021-01-28,0
2021-01-27,0
2021-01-26,0
2021-01-25,0
2021-01-24,0
2021-01-23,0
2021-01-22,0
2021-01-21,0
2021-01-20,0
2021-01-19,0
2021-01-18,0
2021-01-17,0
2021-01-16,0
2021-01-15,0
2021-01-14,0
2021-01-13,0
2021-01-12,0
2021-01-11,0
2021-01-10,0
2021-01-9,0
2021-01-8,0
2021-01-7,0
2021-01-6,0
2021-01-5,0
2021-01-4,0
2021-01-3,0
2021-01-2,0
2021-01-1,0